"","PC1","PC2","PC3"
"P.axil1002",0.191665200324084,0.272790138994837,-0.326495547926945
"P.axil1003",0.192482788511842,0.257883132555651,-0.314925739514842
"P.axil1004",0.190049571101638,0.269366308875224,-0.324350381487595
"P.axil1012",0.190530267080229,0.267336007753791,-0.321458341444853
"P.axil1052",0.0748094041678072,0.0607330104820475,-0.0593345152636316
"P.axil1053",0.0670568442895153,0.0581755128441146,-0.0540567188091007
"P.axil1054",0.0660459627917265,0.055547734589858,-0.0429713513206271
"P.axil1056",0.0691503190847127,0.0628103871986939,-0.057992397397641
"P.axil1059",0.0654498763288628,0.0640354302496653,-0.062537962732787
"P.axil1062",0.0961237002177045,0.0681942737028094,-0.0819266374961829
"P.axil1064",0.0901980511398832,0.066296614010388,-0.0978266117755482
"P.axil1068",0.0905100408300747,0.0765666348314354,-0.0679049005352765
"P.axil1069",0.0923766380997091,0.0700373746307518,-0.0724866775612695
"P.axil1070",0.0929719189847377,0.0696687959518063,-0.075277130085117
"P.axil333",-0.0947626766122943,-0.0391251592760086,-0.0979172098118653
"P.axil334",-0.100621043121453,-0.0368447219664342,-0.0753015925037589
"P.axil335",-0.107407217562629,-0.0413163751836386,-0.0974401782444478
"P.axil343",-0.0948805510411823,-0.047574306558404,-0.0963229067464317
"P.axil349",-0.0974493221372283,-0.0373354855175899,-0.09287995305034
"P.axil350",-0.09321590415979,-0.032410051607681,-0.0822996079650347
"P.axil351",-0.0900783369401897,-0.0277777068593641,-0.104612402860784
"P.axil352",-0.0793774885510018,-0.0357202457791549,-0.110952642239568
"P.axil353",-0.0893687366023519,-0.0457160363970662,-0.106165560825251
"P.axil354",-0.0822029121491863,-0.0271336238464423,-0.0927431843542027
"P.axil366",-0.0944974729590277,-0.0525469203035917,-0.128934873596179
"P.axil374",-0.096539213131386,-0.0493350469351868,-0.105961861884951
"P.axil376",-0.0951014084657678,-0.0551888901227561,-0.125723991732484
"P.axil377",-0.0976927683858125,-0.0565734958757892,-0.120824025772029
"P.axil378",-0.0955628622596451,-0.0425674580285958,-0.123550053736784
"P.axil489",-0.102324068450909,-0.0468348575829962,-0.103597619564333
"P.axil490",-0.110873473711303,-0.0459348123949173,-0.0977789972879467
"P.axil491",-0.111353790202705,-0.0491776766133069,-0.0901340315303659
"P.axil494",-0.105025874347122,-0.0402384050988101,-0.100297946753531
"P.axil495",-0.118265871970679,-0.0520281348056163,-0.0904314352557948
"P.axil828",-0.0852691111468396,-0.0265032309168174,-0.0598350228844917
"P.axil829",-0.0872682063582488,-0.037801256715668,-0.0792355865659002
"P.axil830",-0.0801658209052264,-0.0381349976770279,-0.0767749098028405
"P.axil831",-0.0803851571145262,-0.0273251029532594,-0.0805822847476969
"P.axil832",-0.0850279582904392,-0.0261052986004573,-0.0828678194923973
"P.axil914",-0.0698878920614812,-0.0195257543233157,-0.0862662806417461
"P.axil915",-0.0762928897137357,-0.041204746465352,-0.0796432855078767
"P.axil916",-0.0822986799901679,-0.0315404803909494,-0.0748287251463356
"P.axil917",-0.0894650281063889,-0.0297011580897058,-0.0677686592551853
"P.axil918",-0.0803190294442352,-0.021204906116065,-0.061406849827649
"P.axil990",-0.0945441212796385,-0.056942380054319,-0.130878538807446
"P.axil991",-0.0967787188394727,-0.0576116021223565,-0.137547432817883
"P.axil992",-0.0973925092990911,-0.0541165212492229,-0.122237616798632
"P.axil993",-0.0949923265366536,-0.0555982372083221,-0.134286701590946
"P.axil994",-0.108535977099761,-0.0560797325376312,-0.127268594367327
"axil_09_63",0.248704367711886,-0.332507807262833,-0.108832866226748
"axil_10_63",0.260043440243687,-0.346305806529736,-0.115116339950717
"axil_1115_43",0.13172897110003,0.0519649104465526,0.120783765229869
"axil_1116_43",0.112737583150428,0.0403199110609537,0.0963437522635474
"axil_1117_43",0.133061714311659,0.048960695223197,0.126836831008291
"axil_1120_43",0.129992723817469,0.0341465408927459,0.0389938883464556
"axil_11_63",0.26087570671068,-0.348173493244539,-0.11297188001757
"axil_12_63",0.261656533690458,-0.349012715283423,-0.114204104332132
"axil_14_63",0.258905588170648,-0.342505625441085,-0.114514056306914
"axil_1935",0.123504161326642,0.0323180455287972,0.0827884377941223
"axil_1936",0.120801188406552,0.0394080123356541,0.0859437346444564
"axil_1937",0.126647380062667,0.0569524897509437,0.166222103233729
"axil_1940",0.138303558606554,0.0588433209487006,0.178759308206092
"axil_1946",0.127088092978113,0.0230914953770006,0.0645881995674305
